Numpy matrix operation times, for an n x n matrix where all values are 1.0
(float).

Summation time
1 5.45e-06
2 5.06e-06
4 4.93e-06
8 4.93e-06
16 5.02e-06
32 5.5e-06
64 6.93e-06
128 1.3e-05
256 3.33e-05
512 0.000115
1024 0.00073
2048 0.00276
4096 0.0108

Allocation time
1 2.48e-06
2 2.61e-06
4 2.61e-06
8 2.66e-06
16 3.08e-06
32 3.46e-06
64 4.64e-06
128 8.45e-06
256 2.59e-05
512 9.44e-05
1024 0.00118
2048 0.00693
4096 0.0275

Multiplication time
1 6.34e-07
2 1.27e-06
4 1.36e-06
8 1.46e-06
16 2.05e-06
32 7.94e-06
64 3.17e-05
128 0.000156
256 0.00237
512 0.0112
1024 0.0638
2048 0.449
4096 3.88
